year,age,maritl,race,education,jobclass,health_ins,wage
2007,30,2. Married,3. Asian,5. Advanced Degree,2. Information,1. Yes,118.8843593399
2008,36,2. Married,1. White,3. Some College,1. Industrial,2. No,97.1582750437
2009,57,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,128.6804882206
2008,32,1. Never Married,1. White,4. College Grad,2. Information,1. Yes,276.7784133212
2009,56,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,129.4536445766
2003,31,2. Married,1. White,3. Some College,2. Information,1. Yes,108.8745258347
2009,63,2. Married,1. White,5. Advanced Degree,2. Information,2. No,267.9010868553
2005,35,2. Married,1. White,3. Some College,2. Information,2. No,97.4932940454
2009,36,2. Married,3. Asian,4. College Grad,2. Information,1. Yes,148.4131591026
2003,39,1. Never Married,1. White,2. HS Grad,2. Information,1. Yes,109.8339856422
2009,59,2. Married,3. Asian,4. College Grad,1. Industrial,1. Yes,81.2832532843
2007,20,1. Never Married,1. White,3. Some College,1. Industrial,2. No,72.1504556816
2004,36,2. Married,3. Asian,4. College Grad,1. Industrial,1. Yes,134.7053751189
2005,38,1. Never Married,1. White,3. Some College,1. Industrial,1. Yes,97.4932940454
2003,54,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,124.7204462429
2004,42,2. Married,1. White,4. College Grad,2. Information,1. Yes,103.9024706032
2009,22,1. Never Married,1. White,2. HS Grad,2. Information,2. No,87.9810327856
2004,35,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,141.7751723332
2003,45,3. Widowed,4. Other,2. HS Grad,1. Industrial,1. Yes,94.0727147457
2009,53,2. Married,1. White,4. College Grad,1. Industrial,2. No,104.9215065337
2006,51,2. Married,1. White,3. Some College,1. Industrial,1. Yes,128.6804882206
2005,34,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,159.0520271293
2004,32,2. Married,1. White,2. HS Grad,1. Industrial,2. No,99.6894636985
2003,55,1. Never Married,1. White,5. Advanced Degree,2. Information,1. Yes,110.7826502763
2004,56,4. Divorced,1. White,2. HS Grad,1. Industrial,1. Yes,101.8243520757
2005,27,5. Separated,1. White,1. < HS Grad,1. Industrial,1. Yes,79.8549003093
2006,43,2. Married,1. White,3. Some College,1. Industrial,1. Yes,127.1157438122
2004,58,2. Married,1. White,2. HS Grad,2. Information,1. Yes,87.9810327856
2006,66,2. Married,2. Black,3. Some College,2. Information,1. Yes,118.8843593399
2003,37,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,85.383940379
2006,24,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,101.8243520757
2008,51,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,118.8843593399
2008,25,1. Never Married,2. Black,2. HS Grad,1. Industrial,2. No,84.045957654
2003,61,2. Married,1. White,2. HS Grad,2. Information,1. Yes,101.5955382081
2006,44,4. Divorced,1. White,5. Advanced Degree,2. Information,1. Yes,129.4536445766
2005,54,2. Married,1. White,3. Some College,2. Information,1. Yes,115.5180851537
2004,29,1. Never Married,1. White,3. Some College,1. Industrial,1. Yes,89.2428846645
2007,47,5. Separated,2. Black,1. < HS Grad,2. Information,2. No,82.6796372966
2008,46,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,157.7005277257
2003,19,1. Never Married,1. White,2. HS Grad,2. Information,1. Yes,68.7480877338
2007,29,1. Never Married,3. Asian,4. College Grad,1. Industrial,2. No,62.2386812564
2003,39,4. Divorced,1. White,4. College Grad,2. Information,2. No,87.9810327856
2005,28,2. Married,1. White,3. Some College,2. Information,1. Yes,102.8702469332
2005,39,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,160.6424754083
2007,33,1. Never Married,1. White,4. College Grad,2. Information,1. Yes,99.6894636985
2008,47,2. Married,1. White,5. Advanced Degree,2. Information,2. No,148.4131591026
2007,58,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,104.9215065337
2009,41,1. Never Married,1. White,1. < HS Grad,1. Industrial,2. No,68.7480877338
2004,53,2. Married,1. White,3. Some College,2. Information,1. Yes,115.3750385564
2006,46,2. Married,1. White,1. < HS Grad,2. Information,1. Yes,118.8843593399
2006,63,2. Married,1. White,2. HS Grad,2. Information,1. Yes,118.8843593399
2007,57,4. Divorced,1. White,3. Some College,2. Information,1. Yes,109.8339856422
2006,44,2. Married,1. White,2. HS Grad,2. Information,1. Yes,127.1157438122
2006,41,2. Married,1. White,4. College Grad,2. Information,1. Yes,118.8843593399
2008,58,4. Divorced,1. White,3. Some College,1. Industrial,1. Yes,87.9810327856
2005,30,1. Never Married,1. White,3. Some College,2. Information,2. No,81.2832532843
2009,36,2. Married,1. White,5. Advanced Degree,1. Industrial,2. No,127.1157438122
2009,55,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,87.9810327856
2004,33,2. Married,1. White,4. College Grad,2. Information,2. No,87.9810327856
2004,49,1. Never Married,1. White,2. HS Grad,1. Industrial,2. No,51.7514403709
2006,41,1. Never Married,2. Black,3. Some College,2. Information,1. Yes,118.8843593399
2006,18,1. Never Married,1. White,3. Some College,2. Information,2. No,59.0970640816
2005,24,1. Never Married,1. White,2. HS Grad,1. Industrial,2. No,76.8936025176
2005,34,1. Never Married,2. Black,2. HS Grad,1. Industrial,2. No,94.5960991039
2006,18,1. Never Married,1. White,2. HS Grad,1. Industrial,2. No,73.7757432747
2003,50,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,143.8085568244
2003,38,2. Married,1. White,4. College Grad,2. Information,2. No,148.4131591026
2006,22,1. Never Married,1. White,2. HS Grad,1. Industrial,2. No,81.2832532843
2005,55,2. Married,1. White,4. College Grad,2. Information,1. Yes,118.8843593399
2003,39,2. Married,1. White,5. Advanced Degree,1. Industrial,1. Yes,123.0896998479
2003,32,2. Married,1. White,4. College Grad,2. Information,1. Yes,118.8843593399
2006,29,2. Married,3. Asian,5. Advanced Degree,2. Information,1. Yes,87.9810327856
2003,41,2. Married,1. White,4. College Grad,2. Information,1. Yes,130.9821773775
