Review	Sentiment
"madjarica (utorkom) pizza je bila super i ljuta, stigla pre obecanog vremena, i bogata bez obzira na akciju koju hedansa ima utorkom za ovu pizzu.

za svaku preporuku :)"	1
medaljoni odlicno. nema zbora.	0
super svaki put ispostuju posebne zahteve. dostava uvek besplatna kao sto je i naznaceno, i sto je najbitnije - na vreme. nemojte se pokvariti! :)	1
dva indeksa akcija kifle su malo starije. malcice preslano za moj ukus.	1
bez zamerke hrana odlicna kao i uvek. jednom se desilo da su kasnili 10-ak min, i covek je pomesao zgradu, ali samo jednom a narucujem dosta odavde. stvarno je super hrana svaki put.	1
sve odlicno odlicna hrana i brza dostava	1
"katastrofa porucili smo 2 gurmanske i 2 pohovana kackavalja, dali su 1h sto je za tu vrstu hrane jako vreme. posle 1h i 10 min , su okrenuli telefonom i rekli da bi oni tek sad mogli da krenu i da bi stigli za minimum 20 minuta. pritom obrazlozenje je bilo : ""doslo je do zabune"" , samo da naglasim da sam radio u piceriji godinu dana sa svojim kolima koja sam stedeo i da sam kasnio 3 puta u zivotu , od toga su 2 puta bila po snegu i sva tri puta sam izvadio pare iz svog dzepa da bi ljubi dobili hranu gratis kako bi eventualno nastavili da porucuju kod nas. sve u svemu greota."	0
utisak odlicna hrana i brza dostava.	1
nije u redu testo jako lose. molim vas, ali zaista vas molim, nemojte ovoliko na siru stediti. pa ipak je pica u pitanju. zaista sam razocaran ovom picom sto ste mi isporucili. sramota.	0
"pica specijal 42 cm + 2 sendvica dostava je kasnila 20m, dostavljac nije ni pokusao da vrati kusur od 1000 din (racun je bio 940). 

pica je stigla jedva mlaka i pri tome sastojci na pici nisu isti kao sto je navedeno u meniju. naime, osim sto na njoj uopste nema maslina, cela pica je prekrivena slojem tanko secenih sampinjona koje ja uopste ne jedem i zbog toga nikada ne narucujem pice s pecurkama. obzirom na nacin na koji su sampinjoni postavljeni na picu nemoguce ih je skinuti. pica od 42 cm i 580 rsd (+ 60 rsd za dostavu) dakle leti u kantu, a ja od ovog restorana vise nikada ne narucujem."	0
"sve hladno 1 x cheese burger (standardni 180 grama)
cena: 370.00 rsd 
1 x chicken burger
cena: 210.00 rsd
1 x pomfrit mali
cena: 90.00 rsd

vec su mi smetali hladni burgeri koje smo dobijali od njih, ali ovog puta su prevrsili meru. hrana je stigla pre roka, tek za malo vise od pola sata, ali sve je bilo potpuno hladno, a hladan pomfrit je prilicno tesko jesti. imali smo utisak da su ga isprzili ko zna kad. a s obzirom na to da se doplacuje dostava, sve u svemu hrana nije dovoljno dobra da bi se oprostili propusti u usluzi. vise ne narucujemo odavde."	0
solidno velika narudzbina, vecina je bila odlicna, moj gulas i nije nesto, testenina prekuvana i malo mesa	1
"odlicni! svaka cast!
dostava na vreme, pica preukusna.."	1
"mlogo dobro odlican rostilj, isporuka na vreme! kod obicne pljeske bi moglo biti malo manje lepinje (ili malo vise mesa :)) , al' to su vec finese. 
sve u svemu - zadovoljni!"	0
average! cold re-cooked chips were'nt too appealing! the bg chicken double burger was cool, bit too much sauce/melted cheese	0
odlicna pica odilcna pica za razumnu cenu. svaka preporuka.	1
"nazalost, samo osrednje naruceni cevup papriche xl, chips xl i burito sa sprzom.

vreme dostave, veoma brzo (rekli 60 mn dosli za 15, sto nije cudno jer su u blizini). dostavljac nije imao sitno (ne ide se u dostavu sa novcanicom od 2000 dinara ako je racun 740), ali je skoknuo da razmeni. bio je propust oko dostave, zaboravili su da upakuju i burito, pa je covak morao da dolazi ponovo i dostavlja burito.

sve naruceno je bilo uglavnom mlako (napolju je lepo vreme i ne razumem a razdaljina mala), sto smanjuje ukus hrane.

chevup je bio ok, zacinjen, ali posto je bio mlak...
chips bi trebalo da dolazi sa malo vise sosa, uzeh dva gvakamole sosa i to nije bilo dosta, koji nije bio nista spec, dosta blag.

burito je - los. nema ukusa, nema zacina, meso je odvojeno od ostalih sastojaka tako da nema uklapanja. 

ne znam da li bih ponovo narucivao. koncept je ok, ali treba jos puno da se radi na sklapanju ukusa."	0
rostilj na kg odlican!!	1
punjena pljeka sasvim korektno	1
"meeeh cini mi se da ste pre mesec-dva bili bolji... ne znam da li ste menjali lepinje ili sta, ali je ranije bilo socnije

a, da, veliki pomfrit i onion rings naruceni i placeni, dobili dva mala pomfrita..."	0
